frase_id;ord;token;pos;lema
41;5;dizer;v-inf;dizer
41;6;normal;adj;normal
42;1;mais;adv;mal
42;2;viva;adj;vivo
42;3;liberdade;n;liberdade
42;4;direitos;n;direito
43;1;cores;n;cor
43;2;distúrbio;N;distúrbio
43;3;mental;adj;mental
44;1;heterofobia;N;heterofobia
44;2;mentira;n;mentira
44;3;reclamam;v-fin;reclamar
44;4;tanto;adv;tanto
44;5;bandeira;n;bandeira
44;6;Só;adv;só
44;7;acha;v-fin;achar
44;8;superior;adj;superior
44;9;acha;v-fin;achar
44;10;direitos;n;direito
44;11;exijo;N;exijo
44;12;bandeira;n;bandeira
44;13;portuguesa;adj;portuguÃª
44;14;Agora;adv;agora
44;15;bandeiras;n;bandeira
44;16;ideologias;N;ideologia
44;17;não;adv;não
45;1;Sim;adv;sim
45;2;tolerância;n;tolerância
45;3;sempre;adv;sempre
46;1;Digam;N;digam
46;2;não;adv;não
46;3;mutilação;N;mutilação
46;4;humanos;adj;humano
47;1;iguais;adj;igual
47;2;lei;n;lei
48;1;incomoda;N;incomoda
48;2;manifestação;n;manifestação
48;3;sexualidade;N;sexualidade
48;4;excluindo;v-ger;excluir
48;5;violência;n;violência
48;6;obviamente;adv;obviamente
48;7;ponto;n;ponto
48;8;quereres;N;querer
48;9;agredir;v-inf;agredir
48;10;ofender;v-inf;ofender
48;11;pessoa;n;pessoa
48;12;causa;n;causa
48;13;doente;adj;doente
48;14;precisa;v-fin;precisar
48;15;tratamento;n;tratamento
48;16;não;adv;não
48;17;olharmos;v-inf;olhar
48;18;sexualidade;N;sexualidade
48;19;prisma;N;prisma
48;20;amor;n;amor
48;21;preconceitos;N;preconceito
48;22;deixarão;v-fin;deixar
48;23;lugar;n;lugar
49;1;Feliz;N;feliz
49;2;Dia;n;dia
49;3;Internacional;N;internacional
49;4;Homofobia;N;homofobia
49;5;Bifobia;N;bifobia
49;6;Transfobia;N;transfobia
49;7;também;adv;também
50;1;anormal;N;anormal
50;2;virou;v-fin;virar
50;3;normal;adj;normal
50;4;mundo;n;mundo
50;5;mesmo;adv;mesmo
50;6;acabar;v-inf;acabar
51;1;Educar;N;educar
